x,y,index
4,251,1
4,61,1
4,152,1
4,172,1
4,9,1
4,55,1
4,140,1
4,51,1
4,259,1
4,253,1
4,227,1
4,60,1
6,172,1
6,170,1
6,125,1
6,69,1
6,154,1
6,150,1
6,338,1
6,222,1
6,208,1
6,60,1
6,86,1
8,51,1
8,61,1
8,55,1
8,10,1
8,189,1
8,227,1
8,208,1
8,31,1
12,251,1
12,238,1
12,53,1
12,172,1
12,123,1
12,252,1
16,55,1
16,204,1
16,116,1
16,35,1
16,150,1
18,125,1
18,30,1
18,51,1
18,8,1
18,383,1
18,299,1
18,333,1
18,31,1
18,28,1
20,303,1
20,304,1
20,170,1
27,35,1
27,132,1
27,90,1
27,50,1
27,150,1
27,264,1
27,102,1
27,225,1
27,99,1
27,265,1
27,192,1
27,266,1
27,191,1
27,151,1
27,33,1
27,267,1
27,171,1
37,111,1
37,269,1
37,270,1
37,261,1
37,38,1
37,100,1
37,3,1
37,271,1
37,151,1
37,35,1
37,13,1
37,189,1
37,62,1
37,90,1
41,141,1
45,9,1
45,297,1
45,298,1
45,93,1
45,49,1
45,299,1
45,217,1
45,300,1
45,301,1
45,302,1
48,40,1
48,80,1
50,365,1
50,390,1
50,57,1
50,226,1
50,67,1
50,227,1
50,99,1
50,88,1
50,391,1
50,392,1
50,192,1
50,307,1
50,145,1
50,77,1
50,125,1
50,265,1
50,386,1
50,86,1
50,87,1
50,393,1
50,285,1
50,250,1
50,104,1
50,394,1
50,389,1
50,44,1
50,27,1
60,225,1
60,38,1
60,129,1
60,9,1
60,34,1
60,395,1
60,372,1
60,320,1
60,124,1
60,396,1
60,397,1
60,398,1
60,399,1
60,400,1
60,401,1
60,254,1
60,389,1
60,402,1
60,181,1
60,403,1
60,255,1
60,37,1
60,259,1
60,156,1
60,11,1
60,237,1
60,353,1
60,86,1
67,59,1
67,358,1
67,142,1
67,10,1
67,126,1
67,234,1
67,221,1
67,93,1
67,29,1
67,98,1
67,110,1
67,33,1
67,45,1
67,77,1
67,22,1
67,9,1
67,359,1
72,419,1
76,25,1
76,45,1
76,31,1
76,167,1
76,305,1
76,69,1
76,13,1
76,222,1
76,5,1
76,228,1
76,174,1
76,105,1
79,7,1
79,280,1
79,281,1
79,126,1
79,282,1
79,124,1
79,283,1
79,25,1
79,266,1
79,121,1
79,222,1
79,284,1
79,181,1
79,285,1
79,40,1
79,3,1
81,65,1
81,155,1
81,141,1
81,123,1
81,52,1
81,156,1
81,9,1
