x,y,index
1293,6,1
1294,17,1
1295,16,1
1296,6,1
1297,22,1
1298,47,1
1298,8,1
1299,38,1
13,47,1
130,3,1
130,53,1
130,29,1
130,23,1
130,17,1
1300,29,1
1301,25,1
1302,16,1
1302,25,1
1303,17,1
1304,22,1
1304,23,1
1305,16,1
1306,5,1
1307,15,1
1308,25,1
1309,23,1
131,22,1
131,36,1
1310,25,1
1311,38,1
1312,6,1
1313,27,1
1314,17,1
1314,6,1
1315,16,1
1316,16,1
1317,42,1
1318,36,1
1319,48,1
1319,29,1
132,14,1
132,52,1
1320,16,1
1321,38,1
1321,57,1
1322,23,1
1323,15,1
1324,25,1
1325,57,1
1326,15,1
1326,5,1
1327,29,1
1328,29,1
1329,15,1
1329,25,1
133,22,1
133,48,1
133,36,1
133,29,1
133,23,1
1330,16,1
1331,48,1
1331,29,1
1332,41,1
1332,48,1
1332,29,1
1333,48,1
1333,29,1
1334,6,1
1335,16,1
1336,25,1
1336,57,1
1337,57,1
1338,5,1
1339,25,1
134,9,1
134,53,1
134,43,1
134,23,1
134,17,1
1340,5,1
1341,1,1
1341,25,1
1341,19,1
1342,1,1
1342,41,1
1342,38,1
1342,25,1
1342,19,1
1342,17,1
1342,57,1
1343,57,1
1343,6,1
1344,6,1
1345,25,1
1345,6,1
1346,25,1
1346,17,1
1347,25,1
1347,17,1
1348,25,1
1349,16,1
1349,17,1
135,42,1
1350,25,1
1351,38,1
1352,38,1
1353,5,1
1354,1,1
1355,16,1
1355,48,1
1355,29,1
1356,16,1
1356,17,1
1357,38,1
1357,36,1
1358,16,1
1359,17,1
136,29,1
1360,5,1
1361,25,1
1362,25,1
1363,15,1
1364,15,1
137,16,1
137,41,1
137,25,1
137,17,1
137,57,1
138,48,1
138,29,1
139,16,1
139,38,1
139,25,1
139,23,1
139,6,1
14,48,1
14,29,1
140,14,1
140,42,1
140,17,1
141,29,1
142,22,1
142,23,1
143,22,1
144,14,1
144,22,1
144,29,1
144,17,1
145,5,1
146,0,1
147,6,1
148,25,1
148,6,1
149,57,1
15,16,1
15,23,1
150,6,1
151,47,1
151,42,1
151,8,1
151,38,1
151,29,1
151,23,1
152,57,1
153,16,1
154,3,1
154,29,1
154,23,1
155,39,1
155,6,1
156,23,1
157,9,1
158,25,1
159,47,1
16,16,1
160,59,1
160,48,1
160,29,1
161,48,1
161,29,1
162,42,1
162,16,1
163,6,1
164,38,1
165,38,1
166,16,1
167,59,1
167,38,1
168,25,1
169,48,1
169,29,1
17,52,1
170,15,1
170,57,1
171,17,1
172,43,1
173,38,1
174,29,1
175,38,1
175,17,1
176,22,1
177,43,1
178,29,1
179,14,1
18,22,1
180,15,1
180,16,1
180,53,1
180,25,1
180,23,1
180,57,1
180,6,1
181,53,1
182,5,1
183,6,1
184,16,1
185,29,1
186,43,1
186,17,1
187,8,1
188,5,1
188,25,1
188,17,1
189,38,1
189,6,1
19,16,1
19,6,1
190,47,1
190,42,1
191,48,1
192,25,1
192,17,1
193,47,1
193,42,1
193,8,1
194,17,1
195,16,1
196,42,1
197,17,1
198,45,1
199,16,1
2,48,1
2,29,1
20,22,1
200,6,1
201,25,1
201,17,1
202,8,1
202,23,1
203,16,1
203,38,1
204,22,1
205,45,1
206,15,1
206,38,1
207,17,1
208,3,1
208,48,1
208,29,1
209,5,1
21,22,1
21,43,1
210,23,1
211,22,1
212,43,1
212,6,1
213,22,1
213,48,1
213,29,1
213,23,1
214,25,1
215,25,1
216,48,1
217,15,1
217,41,1
217,25,1
218,9,1
219,42,1
22,23,1
220,48,1
220,29,1
221,3,1
221,27,1
222,22,1
222,25,1
223,38,1
224,16,1
225,14,1
225,48,1
225,29,1
226,29,1
227,38,1
228,15,1
228,38,1
228,29,1
228,57,1
229,1,1
229,48,1
229,29,1
23,23,1
230,29,1
230,9,1
231,57,1
232,25,1
232,17,1
233,23,1
234,42,1
235,23,1
236,29,1
237,16,1
237,3,1
237,48,1
237,29,1
237,27,1
237,23,1
238,29,1
238,23,1
239,25,1
24,16,1
240,42,1
240,48,1
241,16,1
