x,y,index
348,213,1
302,213,1
6,213,1
92,213,1
355,213,1
210,213,1
427,213,1
90,375,1
318,383,1
215,383,1
428,383,1
296,383,1
77,383,1
407,383,1
169,430,1
68,430,1
355,430,1
33,430,1
121,350,1
139,350,1
294,350,1
363,350,1
371,350,1
374,350,1
423,350,1
45,350,1
371,421,1
96,421,1
302,421,1
6,421,1
296,432,1
77,432,1
318,432,1
407,432,1
215,432,1
428,432,1
407,450,1
215,450,1
428,450,1
296,450,1
318,450,1
77,450,1
374,417,1
90,540,1
90,378,1
64,196,1
355,196,1
292,196,1
429,196,1
125,196,1
69,268,1
121,268,1
383,268,1
399,268,1
355,268,1
408,268,1
162,268,1
92,268,1
458,268,1
466,472,1
321,472,1
267,472,1
399,472,1
383,229,1
96,481,1
257,481,1
92,481,1
90,91,1
131,542,1
299,542,1
60,348,1
68,385,1
318,385,1
317,385,1
316,385,1
131,385,1
374,537,1
92,537,1
68,537,1
399,537,1
425,537,1
303,458,1
306,458,1
286,458,1
406,458,1
229,519,1
432,519,1
64,519,1
137,519,1
169,462,1
137,492,1
297,492,1
402,492,1
363,492,1
211,402,1
121,402,1
259,402,1
52,508,1
79,508,1
317,556,1
316,556,1
85,556,1
131,556,1
68,556,1
318,556,1
407,303,1
215,303,1
428,303,1
77,303,1
318,303,1
296,303,1
317,380,1
316,380,1
318,380,1
68,380,1
131,380,1
299,122,1
470,122,1
374,122,1
79,122,1
427,122,1
406,122,1
302,482,1
6,482,1
84,482,1
374,482,1
432,482,1
92,482,1
348,254,1
384,254,1
302,254,1
6,254,1
384,456,1
302,456,1
6,456,1
348,456,1
374,543,1
355,398,1
286,398,1
438,398,1
231,476,1
84,119,1
407,119,1
45,419,1
69,419,1
84,419,1
399,419,1
355,419,1
115,419,1
383,498,1
35,498,1
99,471,1
96,471,1
84,471,1
92,471,1
371,500,1
68,500,1
223,401,1
56,401,1
125,401,1
355,401,1
297,401,1
442,48,1
4,104,1
52,104,1
297,104,1
348,133,1
124,133,1
68,133,1
35,133,1
297,244,1
387,382,1
74,382,1
383,382,1
215,429,1
428,429,1
60,429,1
466,429,1
68,429,1
9,358,1
