miRNA(632),index
hsa-mir-216,246
hsa-mir-216a-5p,247
hsa-mir-216b-5p,248
hsa-mir-217,249
hsa-mir-218,250
hsa-mir-218-2,251
hsa-mir-218-5p,252
hsa-mir-219-1,253
hsa-mir-219a-5p,254
hsa-mir-22,255
hsa-mir-220,256
hsa-mir-221,257
hsa-mir-222,258
hsa-mir-223,259
hsa-mir-223-3p,260
hsa-mir-22-3p,261
hsa-mir-224,262
hsa-mir-224-5p,263
hsa-mir-23a,264
hsa-mir-23a-3p,265
hsa-mir-23b,266
hsa-mir-23b-3p,267
hsa-mir-23c,268
hsa-mir-24,269
hsa-mir-24-1,270
hsa-mir-24-2,271
hsa-mir-24-3p,272
hsa-mir-25,273
hsa-mir-25-3p,274
hsa-mir-26a,275
hsa-mir-26a-1,276
hsa-mir-26a-2,277
hsa-mir-26a-5p,278
hsa-mir-26b,279
hsa-mir-26b-5p,280
hsa-mir-27a,281
hsa-mir-27a-3p,282
hsa-mir-27b,283
hsa-mir-27b-3p,284
hsa-mir-28,285
hsa-mir-28-5p,286
hsa-mir-29,287
hsa-mir-296,288
hsa-mir-296-3p,289
hsa-mir-299-3p,290
hsa-mir-299-5p,291
hsa-mir-29a,292
hsa-mir-29a-2,293
hsa-mir-29a-3p,294
hsa-mir-29b,295
hsa-mir-29b-2,296
hsa-mir-29b-3p,297
hsa-mir-29c,298
hsa-mir-29c-3p,299
hsa-mir-300,300
hsa-mir-301,301
hsa-mir-301a-3p,302
hsa-mir-301b-3p,303
hsa-mir-302a-3p,304
hsa-mir-302b*,305
hsa-mir-302b-3p,306
hsa-mir-302c*,307
hsa-mir-302c-3p,308
hsa-mir-302d,309
hsa-mir-302d-3p,310
hsa-mir-302e,311
hsa-mir-30-3p,312
hsa-mir-30a,313
hsa-mir-30a-3p,314
hsa-mir-30a-5p,315
hsa-mir-30b,316
hsa-mir-30b-5p,317
hsa-mir-30c,318
hsa-mir-30c-1,319
hsa-mir-30c-5p,320
hsa-mir-30d,321
hsa-mir-30d-5p,322
hsa-mir-30e,323
hsa-mir-30e-3p,324
hsa-mir-30e-5p,325
hsa-mir-31,326
hsa-mir-3118,327
hsa-mir-3139,328
hsa-mir-31-5p,329
hsa-mir-3167,330
hsa-mir-31a,331
hsa-mir-32,332
hsa-mir-320,333
hsa-mir-320-2,334
hsa-mir-320a,335
hsa-mir-320b,336
hsa-mir-320c,337
hsa-mir-320d,338
hsa-mir-323,339
hsa-mir-324-3p,340
hsa-mir-324-5p,341
hsa-mir-325,342
hsa-mir-32-5p,343
hsa-mir-326,344
hsa-mir-328,345
hsa-mir-328-1,346
hsa-mir-328-3p,347
hsa-mir-329-3p,348
hsa-mir-33,349
hsa-mir-330-5p,350
hsa-mir-331,351
hsa-mir-335,352
hsa-mir-335-5p,353
hsa-mir-338,354
hsa-mir-338-3p,355
hsa-mir-339,356
hsa-mir-339-5p,357
hsa-mir-33a-5p,358
hsa-mir-33b-5p,359
hsa-mir-34,360
hsa-mir-340,361
hsa-mir-340-5p,362
hsa-mir-342,363
hsa-mir-342-3p,364
hsa-mir-345,365
hsa-mir-346,366
hsa-mir-34a,367
hsa-mir-34a-5p,368
hsa-mir-34b,369
hsa-mir-34c,370
hsa-mir-34c-5p,371
hsa-mir-3529-5p,372
hsa-mir-355,373
hsa-mir-361,374
hsa-mir-3614-5p,375
hsa-mir-361-5p,376
hsa-mir-3619-5p,377
hsa-mir-3622b-5p,378
hsa-mir-362-3p,379
hsa-mir-363-3p,380
hsa-mir-365,381
hsa-mir-365a-3p,382
hsa-mir-3666,383
hsa-mir-367,384
hsa-mir-367-3p,385
hsa-mir-368,386
hsa-mir-369-5p,387
hsa-mir-370,388
hsa-mir-370-3p,389
hsa-mir-371a-5p,390
hsa-mir-372,391
hsa-mir-372-3p,392
hsa-mir-373,393
hsa-mir-373*,394
hsa-mir-373-3p,395
hsa-mir-374,396
hsa-mir-374a-5p,397
hsa-mir-374b-5p,398
hsa-mir-376a,399
hsa-mir-376a-3p,400
hsa-mir-376b-3p,401
hsa-mir-376c-3p,402
hsa-mir-377,403
hsa-mir-377-3p,404
hsa-mir-378*,405
hsa-mir-378a-3p,406
hsa-mir-378b,407
hsa-mir-378c,408
hsa-mir-378d,409
hsa-mir-378e,410
hsa-mir-378f,411
hsa-mir-378h,412
hsa-mir-378i,413
hsa-mir-379,414
hsa-mir-379-5p,415
hsa-mir-381,416
hsa-mir-381-3p,417
hsa-mir-382,418
hsa-mir-382-5p,419
hsa-mir-409-3p,420
hsa-mir-411-5p,421
hsa-mir-421,422
hsa-mir-422a,423
hsa-mir-422b,424
hsa-mir-423,425
hsa-mir-424,426
hsa-mir-424-5p,427
hsa-mir-425,428
hsa-mir-425-5p,429
hsa-mir-4262,430
hsa-mir-429,431
hsa-mir-4295,432
hsa-mir-4306,433
hsa-mir-431-5p,434
hsa-mir-4319,435
hsa-mir-432,436
hsa-mir-433,437
hsa-mir-433-3p,438
hsa-mir-4429,439
hsa-mir-4458,440
hsa-mir-4465,441
hsa-mir-448,442
hsa-mir-449a,443
hsa-mir-449b-5p,444
hsa-mir-4500,445
hsa-mir-451,446
hsa-mir-451a,447
hsa-mir-452,448
hsa-mir-452*,449
hsa-mir-454-3p,450
hsa-mir-455-5p,451
hsa-mir-4644,452
hsa-mir-4725-5p,453
hsa-mir-4735-3p,454
hsa-mir-4770,455
hsa-mir-4782-3p,456
hsa-mir-484,457
hsa-mir-485-5p,458
hsa-mir-486,459
hsa-mir-486-5p,460
hsa-mir-487b,461
hsa-mir-487b-3p,462
hsa-mir-488-3p,463
hsa-mir-490-3p,464
hsa-mir-491,465
hsa-mir-491-5p,466
hsa-mir-493-3p,467
hsa-mir-494,468
hsa-mir-494-3p,469
hsa-mir-495,470
hsa-mir-495-3p,471
hsa-mir-496,472
hsa-mir-497,473
hsa-mir-497-5p,474
hsa-mir-498,475
hsa-mir-499a-5p,476
hsa-mir-5,477
hsa-mir-500,478
hsa-mir-503,479
hsa-mir-504-5p,480
hsa-mir-505-3p,481
hsa-mir-506-3p,482
hsa-mir-510,483
hsa-mir-511,484
hsa-mir-513,485
hsa-mir-516-3p,486
hsa-mir-516-5p,487
hsa-mir-518a-2*,488
hsa-mir-518b,489
hsa-mir-518c*,490
hsa-mir-519d-3p,491
hsa-mir-520a-3p,492
hsa-mir-520b,493
hsa-mir-520c,494
hsa-mir-520c-3p,495
hsa-mir-520d-3p,496
hsa-mir-520e,497
hsa-mir-539-5p,498
hsa-mir-542-3p,499
hsa-mir-543,500
hsa-mir-544a,501
hsa-mir-551a,502
hsa-mir-551b-3p,503
hsa-mir-557,504
hsa-mir-575,505
hsa-mir-583,506
hsa-mir-584,507
hsa-mir-590-3p,508
hsa-mir-590-5p,509
hsa-mir-594,510
hsa-mir-596,511
hsa-mir-599,512
hsa-mir-600,513
hsa-mir-601,514
hsa-mir-602,515
hsa-mir-608,516
hsa-mir-611,517
hsa-mir-612,518
hsa-mir-613,519
hsa-mir-615,520
hsa-mir-615-3p,521
hsa-mir-622,522
hsa-mir-629,523
hsa-mir-637,524
hsa-mir-642,525
hsa-mir-653-5p,526
hsa-mir-654,527
hsa-mir-657,528
hsa-mir-658,529
hsa-mir-662,530
hsa-mir-663,531
hsa-mir-664,532
hsa-mir-7,533
hsa-mir-708,534
hsa-mir-708-5p,535
hsa-mir-7-3,536
hsa-mir-758-3p,537
hsa-mir-7-5p,538
hsa-mir-761,539
hsa-mir-762,540
hsa-mir-769-3p,541
hsa-mir-873-5p,542
hsa-mir-874-3p,543
