x,y,index
7,275,1
58,275,1
3,275,1
8,275,1
23,151,1
3,151,1
22,151,1
47,151,1
8,151,1
37,532,1
37,507,1
37,466,1
26,169,1
37,169,1
44,109,1
37,109,1
37,65,1
37,232,1
26,38,1
47,38,1
42,279,1
7,279,1
26,279,1
42,259,1
44,259,1
47,259,1
7,259,1
48,259,1
58,259,1
35,259,1
37,259,1
21,259,1
47,188,1
21,188,1
33,180,1
47,180,1
21,180,1
23,145,1
10,546,1
23,546,1
22,345,1
47,345,1
48,345,1
8,345,1
23,345,1
23,285,1
42,273,1
40,273,1
22,273,1
23,273,1
42,230,1
40,230,1
8,230,1
23,230,1
33,208,1
23,208,1
44,141,1
33,141,1
10,141,1
3,141,1
23,141,1
42,136,1
10,136,1
3,136,1
23,136,1
35,77,1
48,77,1
58,77,1
47,77,1
23,77,1
25,21,1
26,21,1
15,21,1
47,21,1
38,21,1
3,367,1
55,367,1
10,367,1
42,367,1
23,367,1
22,367,1
53,214,1
33,214,1
8,212,1
3,212,1
33,212,1
33,403,1
7,326,1
42,326,1
26,326,1
33,326,1
33,100,1
23,100,1
43,100,1
47,100,1
35,216,1
51,216,1
33,216,1
40,97,1
26,97,1
47,97,1
33,97,1
8,46,1
44,46,1
33,484,1
42,473,1
8,473,1
47,473,1
33,473,1
22,446,1
48,446,1
58,446,1
8,446,1
47,446,1
44,446,1
33,446,1
35,425,1
55,425,1
33,425,1
48,370,1
47,370,1
10,370,1
40,370,1
10,369,1
47,369,1
48,369,1
40,369,1
55,255,1
48,255,1
42,255,1
8,255,1
33,255,1
14,250,1
42,250,1
33,250,1
26,165,1
42,165,1
26,163,1
10,163,1
33,163,1
42,163,1
26,162,1
48,162,1
8,162,1
33,162,1
47,162,1
42,162,1
21,393,1
8,393,1
47,391,1
48,391,1
10,391,1
42,388,1
53,388,1
55,387,1
55,234,1
48,234,1
58,234,1
53,234,1
25,234,1
26,234,1
38,234,1
3,234,1
26,90,1
8,90,1
35,85,1
55,85,1
35,82,1
26,82,1
7,82,1
47,82,1
22,82,1
48,126,1
58,126,1
42,125,1
26,125,1
48,125,1
47,88,1
26,57,1
10,57,1
25,57,1
42,54,1
40,54,1
33,54,1
48,54,1
58,54,1
35,235,1
42,235,1
23,235,1
55,235,1
48,235,1
58,235,1
22,235,1
42,13,1
8,13,1
33,13,1
35,11,1
26,11,1
58,11,1
33,11,1
10,9,1
42,9,1
40,9,1
26,9,1
8,9,1
33,9,1
23,113,1
3,113,1
55,113,1
33,113,1
8,113,1
33,111,1
26,123,1
35,123,1
33,123,1
55,386,1
25,269,1
48,269,1
58,269,1
42,269,1
55,418,1
53,222,1
33,222,1
48,222,1
8,19,1
47,17,1
33,17,1
17,623,1
17,622,1
17,628,1
17,627,1
17,610,1
17,611,1
17,576,1
17,592,1
3,568,1
38,539,1
17,588,1
17,586,1
16,570,1
3,569,1
17,579,1
17,575,1
17,571,1
17,572,1
17,580,1
17,581,1
17,578,1
17,574,1
3,573,1
17,631,1
3,630,1
14,500,1
3,500,1
17,629,1
17,624,1
3,300,1
3,626,1
3,625,1
3,621,1
3,620,1
3,527,1
17,555,1
17,619,1
17,617,1
3,607,1
17,597,1
3,461,1
17,461,1
3,601,1
3,618,1
3,614,1
17,612,1
14,616,1
3,472,1
3,470,1
3,468,1
3,436,1
17,436,1
3,615,1
15,113,1
3,613,1
17,613,1
3,602,1
3,606,1
3,608,1
3,605,1
17,605,1
3,594,1
3,595,1
3,609,1
3,437,1
38,425,1
17,425,1
3,418,1
3,416,1
3,604,1
3,414,1
3,403,1
17,403,1
3,600,1
17,599,1
3,388,1
3,598,1
27,598,1
3,603,1
17,356,1
3,596,1
17,352,1
43,345,1
3,593,1
43,591,1
17,584,1
17,585,1
17,564,1
43,557,1
16,323,1
17,313,1
3,590,1
17,281,1
17,258,1
17,257,1
27,589,1
17,243,1
17,241,1
27,226,1
17,224,1
17,222,1
17,587,1
17,212,1
27,190,1
17,190,1
17,180,1
17,158,1
3,131,1
15,111,1
38,109,1
17,583,1
17,582,1
17,102,1
17,100,1
3,90,1
3,85,1
43,77,1
17,77,1
27,577,1
3,63,1
17,63,1
17,61,1
38,59,1
17,58,1
17,43,1
43,38,1
35,166,1
48,166,1
26,93,1
10,93,1
48,344,1
42,149,1
7,149,1
35,366,1
33,431,1
55,290,1
35,315,1
42,315,1
55,315,1
35,341,1
26,341,1
48,341,1
33,341,1
7,84,1
22,84,1
55,458,1
26,104,1
37,104,1
33,429,1
7,325,1
33,325,1
55,325,1
10,41,1
