circRNA(474),index
hsa_circ_0018508,245
hsa_circ_0086414,246
hsa_circ_0005105,247
hsa_circ_0045714,248
hsa_circ_0041019,249
hsa_circ_0005043,250
hsa_circ_0000026,251
hsa_circ_0008310,252
hsa_circ_0065932,253
hsa_circ_0000589,254
hsa_circ_0005567,255
hsa_circ_0006186,256
hsa_circ_0007380,257
hsa_circ_0052012,258
hsa_circ_0032683,259
hsa_circ_0083964,260
hsa_circ_0004712,261
hsa_circ_0001859,262
hsa_circ_0060144,263
hsa_circ_0004315,264
hsa_circ_0003524,265
hsa_circ_0088036,266
hsa_circ_0040809,267
hsa_circ_0008139,268
hsa_circ_0005870,269
hsa_circ_0067934,270
hsa_circ_0000064,271
hsa_circ_0059044,272
hsa_circ_0054155,273
hsa_circ_0013958,274
hsa_circ_0007915,275
hsa_circ_0003028,276
hsa_circ_0010090,277
hsa_circ_0032832,278
hsa_circ_0001336,279
hsa_circ_0058058,280
hsa_circ_0004519,281
hsa_circ_0014879,282
hsa_circ_0002019,283
hsa_circ_0000554,284
hsa_circ_0089974,285
hsa_circ_0000426,286
hsa_circ_0000096,287
hsa_circ_0082333,288
hsa_circ_0001451,289
hsa_circ_0000069,290
hsa_circ_0000567,291
hsa_circ_0014717,292
hsa_circ_0007374,293
hsa_circ_0006229,294
hsa_circ_0002190,295
hsa_circ_0000522,296
hsa_circ_0071589,297
hsa_circ_0003906,298
hsa_circ_0000523,299
hsa_circ_0002138,300
hsa_circ_0024169,301
hsa_circ_0000677,302
hsa_circ_0087862,303
hsa_circ_0084021,304
hsa_circ_0008509,305
hsa_circ_0006174,306
hsa_circ_0048232,307
hsa_circ_0074806,308
hsa_circ_0005949,309
hsa_circ_0008494,310
hsa_circ_0022080,311
hsa_circ_0084353,312
hsa_circ_0074930,313
hsa_circ_0000237,314
hsa_circ_0007006,315
hsa_circ_0000504,316
hsa_circ_0007031,317
hsa_circ_0001724,318
hsa_circ_0020397,319
hsa_circ_0002702,320
hsa_circ_0003098,321
hsa_circ_0017446,322
hsa_circ_0004136,323
hsa_circ_0035381,324
hsa_circ_0075001,325
hsa_circ_0000254,326
hsa_circ_0000488,327
hsa_circ_0001947,328
hsa_circ_0008078,329
hsa_circ_0001187,330
hsa_circ_0049657,331
hsa_circ_0012673,332
hsa_circ_0005075,333
hsa_circ_0004018,334
hsa_circ_0001727,335
hsa_circ_0003570,336
hsa_circ_0005986,337
hsa_circ_0085154,338
hsa_circ_0067531,339
hsa_circ_0068669,340
hsa_circ_0008450,341
hsa_circ_0002133,342
hsa_circ_0000839,343
hsa_circ_0021093,344
hsa_circ_0007874,345
hsa_circ_0000497,346
hsa_circ_0075736,347
hsa_circ_0000130,348
hsa_circ_0008717,349
hsa_circ_0004619,350
hsa_circ_0006054,351
hsa_circ_0001875,352
hsa_circ_0001824,353
hsa_circ_0006528,354
hsa_circ_0011946,355
hsa_circ_0085567,356
hsa_circ_0044556,357
hsa_circ_0017949,358
hsa_circ_0016723,359
hsa_circ_0007769,360
hsa_circ_0007551,361
hsa_circ_0006903,362
hsa_circ_0006147,363
hsa_circ_0005214,364
hsa_circ_0005046,365
hsa_circ_0005004,366
hsa_circ_0003880,367
hsa_circ_0003183,368
hsa_circ_0002179,369
hsa_circ_0002168,370
hsa_circ_0002007,371
hsa_circ_0001791,372
hsa_circ_0001259,373
hsa_circ_0001135,374
hsa_circ_0000073,375
hsa_circ_0017841,376
hsa_circ_0016901,377
hsa_circ_0015350,378
hsa_circ_0014961,379
hsa_circ_0012380,380
hsa_circ_0010567,381
hsa_circ_0001598,382
hsa_circ_0001175,383
hsa_circ_0036159,384
hsa_circ_0015703,385
hsa_circ_0010008,386
hsa_circ_0001184,387
hsa_circ_0003838,388
hsa_circ_0092276,389
hsa_circ_0086241,390
hsa_circ_0085495,391
hsa_circ_0001667,392
hsa_circ_0002874,393
hsa_circ_0068033,394
hsa_circ_0001785,395
hsa_circ_0001982,396
hsa_circ_0000981,397
hsa_circ_0000893,398
hsa_circ_0001283,399
hsa_circ_0018293,400
hsa_circ_0000911,401
hsa_circ_0001721,402
hsa_circ_0000098,403
hsa_circ_0000732,404
hsa_circ_0008945,405
hsa_circ_0000140,406
hsa_circ_0000190,407
hsa_circ_0001895,408
hsa_circ_0069131,409
hsa_circ_0031979,410
hsa_circ_0006022,411
hsa_circ_0085553,412
hsa_circ_0003707,413
hsa_circ_0089548,414
hsa_circ_0091742,415
hsa_circ_0058246,416
hsa_circ_0006633,417
hsa_circ_0001561,418
hsa_circ_0000745,419
hsa_circ_0000181,420
hsa_circ_0003159,421
hsa_circ_0041732,422
hsa_circ_0023642,423
hsa_circ_0031027,424
hsa_circ_0068610,425
hsa_circ_0047905,426
hsa_circ_0008394,427
hsa_circ_0000154,428
hsa_circ_0004680,429
hsa_circ_0002089,430
